"sensor_nodes_id","site_name","source_name","city"
8209,"PT03100","EEA Portugal","Lisboa"
6349,"Estación San Miguel","AirNow","GUANAJUATO"
72,"Curicó","Chile - SINCA","Curicó"
247,"CARTHAGE","AirNow","Joplin"
214,"MMFRA1001","AirNow","FRA"
237,"San Ysidro","AirNow","San Diego-Carlsbad-San Marcos"
238,"Maryland Heights","AirNow","St. Louis"
241,"Pernis-Soetemanweg","Netherlands","Pernis"
7077,"San Jose","AirNow","N/A"
5694,"FR06006","EEA France","Nord"
1913,"Shreveport Airport","AirNow","Shreveport-Bossier City"
249,"Farrar","AirNow","PERRY"
325,"Test Prueba","Chile - SINCA","Santiago"
243,"ELDOSPGS","AirNow","CEDAR"
1620,"CARTHAGE","AirNow","Joplin"
1076,"Navajo Lake","AirNow","Farmington"
5213,"SK0041A","EEA Slovakia","Prešovský kraj"
9770,"US Diplomatic Post: Guatemala City","StateAir_GuatemalaCity","Guatemala City"
663,"Hanford - S. Irwin S","AirNow","Hanford-Corcoran"
250,"ARNOLD","AirNow","St. Louis"
830,"Sierra Gorda ","Chile - SINCA","Sierra Gorda"
11566,"Armidale","Australia - New South Wales","Northern Tablelands"
414,"Stockton-on-Tees Eaglescliffe","DEFRA","Stockton-on-Tees"
2771,"Graz Mitte Gries","EEA Austria","Austria"
2930,"CZ0TOZR","EEA Czech Republic","Moravskoslezský"
236023,"Québec - Collège St-","AirNow","QUEBEC"
1445,"Waterloo, Water Towe","AirNow","Waterloo-Cedar Falls"
463,"Rivi�re-des-Prairies","AirNow","QUEBEC"
7555,"Leonessa","ARPALAZIO","Rieti"
252,"Buick NE","AirNow","IRON"
253,"BONTERRE","AirNow","STE GENEVIEVE"
588,"Chiu Chiu","Chile - SINCA","Calama"
254,"WEST ALTON","AirNow","St. Louis"
318,"Texarkana New Boston","AirNow","Texarkana"
6262,"Yüzüncüyıl","Turkey","Samsun"
332,"QUILICURA ","Chile - SINCA","Quilicura"
7828,"Lukavac","Bosnia_Tuzlanski","Lukavac"
7546,"Guidonia","ARPALAZIO","Roma"
10888,"RO0117A","EEA Romania","Brăila"
256,"CHARLSTN","AirNow","Springfield"
269,"Northampton Kingsthorpe","DEFRA","Northampton"
299,"Quilicura","Chile - SINCA","Quilicura"
1695,"Macon Forestry","AirNow","Macon"
1588,"Brownstown","AirNow","Seymour"
306,"Skiatook","AirNow","Tulsa"
317,"Las Vegas Paiute","AirNow","CLARK"
5196,"SK0006R","EEA Slovakia","Prešovský kraj"
2718,"Sembadel","EEA France","ATMO AUVERGNE"
2719,"LA VALETTE/LA GARDE","EEA France","AIR PACA"
2218,"Harrisville","AirNow","Ogden-Clearfield"
2743,"Milas Hayıtlı","Turkey","Muğla"
2726,"Pöchlarn","EEA Austria","Austria"
471,"Brown University, Ro","AirNow","Providence-New Bedford-Fall River"
1616,"Twisp-Glover St","AirNow","CHELAN"
2749,"Wolkersdorf","EEA Austria","Austria"
2744,"Eisenstadt Laschoberstraße","EEA Austria","Austria"
2745,"Bad Vöslau - Gainfarn","EEA Austria","Austria"
1216,"Gateway","AirNow","PINELLAS"
580,"Garcia","AirNow","NUEVO LEON"
581,"Santa Catarina","AirNow","NUEVO LEON"
3875,"Erlin","Taiwan","彰化縣"
529,"Molson","AirNow","QUEBEC"
572,"Duncan","AirNow","QUEBEC"
2747,"St. Koloman Kleinhorn","EEA Austria","Austria"
575,"Vineyard","Australia - New South Wales","Sydney North-west"
579,"La Pastora","AirNow","NUEVO LEON"
2755,"Heiterwang","EEA Austria","Austria"
5108,"GBUAPCD EBAM @ Alpin","AirNow","GBU"
1243,"LANSING","AirNow","Lansing-East Lansing"
2769,"Hallein B159","EEA Austria","Austria"
2774,"Leoben Göß","EEA Austria","Austria"
737,"SETRPC Port Arthur C","AirNow","Beaumont-Port Arthur"
2756,"Purkersdorf","EEA Austria","Austria"
2775,"Leoben Zentrum","EEA Austria","Austria"
4562,"AT31904","EEA Austria","Niederösterreich"
2750,"Obervellach Schulzentrum","EEA Austria","Austria"
7472,"Marlo","Australia - Victoria","Marlo"
2753,"Wien Stephansplatz","EEA Austria","Austria"
611,"Prescott College","AirNow","Prescott"
