"sensor_nodes_id","site_name","source_name","city"
11472,"תחנה:ניידת5","Israel","מישור החוף הדרומי"
6419,"תחנה:גליל עליון","Israel","שרון"
11423,"תחנה:מודיעין חח""י","Israel","תחנות ניידות"
11438,"תחנה:ניידת5","Israel","גוש דן"
6530,"תחנה:מודיעין חח""י","Israel","מישור החוף הדרומי"
11219,"תחנה:נאות הכיכר","Israel","צפון"
11003,"תחנה:שגב שלום","Israel","צפון"
11017,"תחנה:שגב שלום","Israel","תחנות ניידות"
11134,"תחנה:שדה יואב","Israel","צפון"
11450,"תחנה:ניידת נתניה","Israel","גוש דן"
11435,"תחנה:ניידת5","Israel","מישור החוף הדרומי"
11558,"תחנה:דליה","Israel","מישור החוף הדרומי"
6015,"תחנה:שדה יואב","Israel","שרון"
11313,"תחנה:ניידת5","Israel","מישור החוף הדרומי"
11066,"תחנה:רכבת יוספטל","Israel","שרון"
11465,"תחנה:שדרות","Israel","גוש דן"
6554,"תחנה:ניידת5","Israel","תחנות ניידות"
10996,"תחנה:היובל","Israel","גוש דן"
11400,"תחנה:רחובות","Israel","גוש דן"
4981,"תחנה:רכבת יוספטל","Israel","תחנות ניידות"
11426,"תחנה:רמת השרון","Israel","חיפה וקריות"
5893,"תחנה:מגל","Israel","תחנות ניידות"
11419,"תחנה:פזורה","Israel","מישור החוף הדרומי"
11145,"תחנה:ניידת6","Israel","ירושלים"
11307,"תחנה:ניידת6","Israel","צפון"
11475,"תחנה:מודיעין חח""י","Israel","צפון הנגב"
4989,"תחנה:גליל עליון","Israel","תחנות ניידות"
11244,"תחנה:שדרות","Israel","גוש דן"
5976,"תחנה:היובל","Israel","מישור החוף הדרומי"
11468,"תחנה:שדרות","Israel","מישור החוף הדרומי"
11335,"תחנה:ניידת6","Israel","גוש דן"
6805,"תחנה:אריאל","Israel","ירושלים"
11256,"תחנה:אריאל","Israel","מישור החוף הדרומי"
11138,"תחנה:ניידת6","Israel","צפון"
11281,"תחנה:מבקיעים","Israel","שרון"
11002,"תחנה:רחובות","Israel","שרון"
11295,"תחנה:שדרות","Israel","גוש דן"
11404,"תחנה:אריאל","Israel","צפון הנגב"
5843,"תחנה:רכבת יוספטל","Israel","גוש דן"
11229,"תחנה:מבקיעים","Israel","שרון"
5016,"תחנה:שדרות","Israel","מישור החוף הדרומי"
11168,"תחנה:מבקיעים","Israel","שרון"
6775,"תחנה:גליל עליון","Israel","גוש דן"
5495,"תחנה:היובל","Israel","שרון"
6603,"תחנה:רכבת השלום","Israel","גוש דן"
